doc_id,origin,title,normalized_title,source_url,source_slug,fallback_slug,canonical_slug,section_or_category,local_path
new:developer/schema/controls/text-align,academy,Text Align Control Schema,text align control schema,https://academy.bricksbuilder.io/developer/schema/controls/text-align/,text-align,text-align,text-align,developer/schema,
new:developer/schema/controls/text-shadow,academy,Text Shadow Control Schema,text shadow control schema,https://academy.bricksbuilder.io/developer/schema/controls/text-shadow/,text-shadow,text-shadow,text-shadow,developer/schema,
new:developer/schema/controls/text,academy,Text Control Schema,text control schema,https://academy.bricksbuilder.io/developer/schema/controls/text/,text,text,text,developer/schema,
new:developer/schema/controls/textarea,academy,Textarea Control Schema,textarea control schema,https://academy.bricksbuilder.io/developer/schema/controls/textarea/,textarea,textarea,textarea,developer/schema,
new:developer/schema/controls/transform,academy,Transform Control Schema,transform control schema,https://academy.bricksbuilder.io/developer/schema/controls/transform/,transform,transform,transform,developer/schema,
new:developer/schema/controls/typography,academy,Typography Control Schema,typography control schema,https://academy.bricksbuilder.io/developer/schema/controls/typography/,typography,typography,typography,developer/schema,
new:developer/schema/controls/video,academy,Video Control Schema,video control schema,https://academy.bricksbuilder.io/developer/schema/controls/video/,video,video,video,developer/schema,
new:developer/schema/elements/accordion-nested,academy,Accordion (Nestable) Schema,accordion nestable schema,https://academy.bricksbuilder.io/developer/schema/elements/accordion-nested/,accordion-nested,accordion-nested,accordion-nested,developer/schema,
new:developer/schema/elements/accordion,academy,Accordion Schema,accordion schema,https://academy.bricksbuilder.io/developer/schema/elements/accordion/,accordion,accordion,accordion,developer/schema,
new:developer/schema/elements/alert,academy,Alert Schema,alert schema,https://academy.bricksbuilder.io/developer/schema/elements/alert/,alert,alert,alert,developer/schema,
new:developer/schema/elements/animated-typing,academy,Anim. Typing Schema,anim typing schema,https://academy.bricksbuilder.io/developer/schema/elements/animated-typing/,animated-typing,animated-typing,animated-typing,developer/schema,
new:developer/schema/elements/audio,academy,Audio Schema,audio schema,https://academy.bricksbuilder.io/developer/schema/elements/audio/,audio,audio,audio,developer/schema,
new:developer/schema/elements/back-to-top,academy,Back To Top Schema,back to top schema,https://academy.bricksbuilder.io/developer/schema/elements/back-to-top/,back-to-top,back-to-top,back-to-top,developer/schema,
new:developer/schema/elements/block,academy,Block Schema,block schema,https://academy.bricksbuilder.io/developer/schema/elements/block/,block,block,block,developer/schema,
new:developer/schema/elements/breadcrumbs,academy,Breadcrumbs Schema,breadcrumbs schema,https://academy.bricksbuilder.io/developer/schema/elements/breadcrumbs/,breadcrumbs,breadcrumbs,breadcrumbs,developer/schema,
new:developer/schema/elements/button,academy,Button Schema,button schema,https://academy.bricksbuilder.io/developer/schema/elements/button/,button,button,button,developer/schema,
new:developer/schema/elements/carousel,academy,Carousel Schema,carousel schema,https://academy.bricksbuilder.io/developer/schema/elements/carousel/,carousel,carousel,carousel,developer/schema,
new:developer/schema/elements/code,academy,Code Schema,code schema,https://academy.bricksbuilder.io/developer/schema/elements/code/,code,code,code,developer/schema,
